Sequence,Country Code,Geographic Area,Reference Date,Population Subgroup,Subpop Code,Sex,Age,Source ID,Comments,Data Type,Country,Site Name,Author,Year,Title,Publication Information,Virus Type,NO_CASES,NO_DEATHS,PREV_RATE,INC_RATE,Specimen Type,Test Type,SAMPSIZE
161,WZ,National,1996,STI pts.,S,M,ALL,S0412,5th HIV Sentinel Surveillance.  Total of all 4 regions.  Attending STI clinic.  Breakdown by age is given in text.  24 June - 30 Aug. 96.,P,Swaziland,National,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,438,-1,37.76,N/A,BW,ELISA,1160
38,WZ,Lubombo region,1996,Pregnant women,G,F,UNK,S0412,5th HIV Sentinel Surveillance.  1st time attending antenatal clinic.  24 June - 30 Aug. 96.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,6,-1,33.33,N/A,BW,ELISA,18
78,WZ,Hhohho region,1996,STI pts.,S,F,UNK,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  24 June - 30 Aug. 96.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,33.3,N/A,BW,ELISA,3
114,WZ,Lubombo region,1996,STI pts.,S,B,UNK,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  24 June - 30 Aug. 96.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,36.8,N/A,BW,ELISA,19
132,WZ,Lubombo region,1996,STI pts.,S,M,UNK,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  24 June - 30 Aug. 96.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,0,N/A,BW,ELISA,5
159,WZ,National,1996,Pregnant women,G,F,UNK,S0412,5th HIV Sentinel Surveillance.  Total of all 4 regions.  1st time attending antenatal clinic.  24 June - 30 Aug. 96.,P,Swaziland,National,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,9,-1,30,N/A,BW,ELISA,30
171,WZ,National,1996,STI pts.,S,B,UNK,S0412,5th HIV Sentinel Surveillance.  Total of all 4 regions.  Attending STI clinic.  24 June - 30 Aug. 96.,P,Swaziland,National,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,31,-1,25.83,N/A,BW,ELISA,120
10,WZ,Hhohho region,1996,Pregnant women,G,F,UNK,S0412,5th HIV Sentinel Surveillance.  1st time attending antenatal clinic.  24 June - 30 Aug. 96.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,2,-1,50,N/A,BW,ELISA,4
28,WZ,Shiselweni region,1996,Pregnant women,G,F,UNK,S0412,5th HIV Sentinel Surveillance.  1st time attending antenatal clinic.  24 June - 30 Aug. 96.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,0,N/A,BW,ELISA,2
40,WZ,Hhohho region,1996,STI pts.,S,B,UNK,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  24 June - 30 Aug. 96.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,27,N/A,BW,ELISA,37
60,WZ,Hhohho region,1996,STI pts.,S,M,UNK,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  24 June - 30 Aug. 96.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,66.7,N/A,BW,ELISA,3
87,WZ,Manzini region,1996,STI pts.,S,F,ALL,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  24 June - 30 Aug. 96.,P,Swaziland,Manzini region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,34.5,N/A,BW,ELISA,281
96,WZ,Shiselweni region,1996,STI pts.,S,B,ALL,S0412,"5th HIV Sentinel Surveillance.  Attending a STI clinic.  156 males, 280 females & 27 unknown sex.  Breakdown by sex & age is provided.  24 June - 30 Aug. 96.",P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,29.8,N/A,BW,ELISA,463
105,WZ,Lubombo region,1996,STI pts.,S,B,ALL,S0412,"5th HIV Sentinel Surveillance.  Attending a STI clinic.  460 males, 465 females & 12 unknown sex.  Breakdown by sex & age is provided.  24 June - 30 Aug. 96.",P,Swaziland,Lubombo region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,41.1,N/A,BW,ELISA,937
115,WZ,Shiselweni region,1996,STI pts.,S,M,ALL,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  24 June - 30 Aug. 96.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,31.4,N/A,BW,ELISA,156
131,WZ,Lubombo region,1996,STI pts.,S,M,ALL,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  24 June - 30 Aug. 96.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,42.6,N/A,BW,ELISA,460
140,WZ,Lubombo region,1996,STI pts.,S,F,ALL,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  24 June - 30 Aug. 96.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,39.6,N/A,BW,ELISA,465
150,WZ,National,1996,Pregnant women,G,F,ALL,S0412,"5th HIV Sentinel Surveillance.  Total of all 4 regions.  1st time attending antenatal clinic.  Breakdown by region & age is provided.  24 June - 30 Aug. 96.  Also, see N0395.",P,Swaziland,National,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,642,-1,26.01,N/A,BW,ELISA,2468
160,WZ,National,1996,STI pts.,S,B,ALL,S0412,"5th HIV Sentinel Surveillance.  Total of all 4 regions.  Attending STI clinic.  1160 males, 1366 females, & 111 unknown sex.  Breakdown by region, sex, & age is provided.  24 June - 30 Aug. 96.",P,Swaziland,National,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,965,-1,36.59,N/A,BW,ELISA,2637
162,WZ,National,1996,STI pts.,S,F,ALL,S0412,5th HIV Sentinel Surveillance.  Total of all 4 regions.  Attending STI clinic.  Breakdown by age is given in text.  24 June - 30 Aug. 96.,P,Swaziland,National,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,499,-1,36.53,N/A,BW,ELISA,1366
1,WZ,Hhohho region,1996,Pregnant women,G,F,ALL,S0412,5th HIV Sentinel Surveillance.  1st time attending antenatal clinic.  Breakdown by age is provided.  24 June - 30 Aug. 96.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,186,-1,26.31,N/A,BW,ELISA,707
11,WZ,Manzini region,1996,Pregnant women,G,F,ALL,S0412,5th HIV Sentinel Surveillance.  1st time attending antenatal clinic.  Breakdown by age is provided.  24 June - 30 Aug. 96.,P,Swaziland,Manzini region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,109,-1,27.66,N/A,BW,ELISA,394
20,WZ,Shiselweni region,1996,Pregnant women,G,F,ALL,S0412,5th HIV Sentinel Surveillance.  1st time attending antenatal clinic.  Breakdown age is provided.  24 June - 30 Aug. 96.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,101,-1,23.88,N/A,BW,ELISA,423
29,WZ,Lubombo region,1996,Pregnant women,G,F,ALL,S0412,5th HIV Sentinel Surveillance.  1st time attending antenatal clinic.  Breakdown by age is provided.  24 June - 30 Aug. 96.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,255,-1,26.53,N/A,BW,ELISA,961
39,WZ,Hhohho region,1996,STI pts.,S,B,ALL,S0412,"5th HIV Sentinel Surveillance.  Attending a STI clinic.  293 males, 325 females & 33 unknown sex.  Breakdown by sex & age is provided.  24 June - 30 Aug. 96.",P,Swaziland,Hhohho region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,38.2,N/A,BW,ELISA,651
49,WZ,Manzini region,1996,STI pts.,S,B,ALL,S0412,"5th HIV Sentinel Surveillance.  Attending a STI clinic.  221 males, 281 females & 33 unknown sex.  Breakdown by sex & age is provided.  24 June - 30 Aug. 96.",P,Swaziland,Manzini region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,36.1,N/A,BW,ELISA,535
59,WZ,Hhohho region,1996,STI pts.,S,M,ALL,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  24 June - 30 Aug. 96.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,35.2,N/A,BW,ELISA,293
69,WZ,Hhohho region,1996,STI pts.,S,F,ALL,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  24 June - 30 Aug. 96.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,40.9,N/A,BW,ELISA,325
79,WZ,Manzini region,1996,STI pts.,S,M,ALL,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  24 June - 30 Aug. 96.,P,Swaziland,Manzini region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,40.7,N/A,BW,ELISA,221
1,WZ,National,1993,Pregnant women,G,F,ALL,N0189,"Only the prevalence rate was given.  Sentinel surveillance.  Oct. - Nov. 93.  Also, see D0117.",P,Swaziland,National,"Nxumalo, R.",1997,HIV Sentinel Surveillance in Swaziland,"Presented at the UNAIDS Regional Workshop on ""Evidence of Behavioural Change in the Context of HIV Decline in Uganda,"" 10 - 13, February, Nairobi, Kenya.",HIV,-1,-1,21.9,N/A,B,UNK,N/A
4,WZ,National,1993,STI pts.,S,B,ALL,N0189,"Only the prevalence rate was given.  Sentinel surveillance.  Also, see D0117.",P,Swaziland,National,"Nxumalo, R.",1997,HIV Sentinel Surveillance in Swaziland,"Presented at the UNAIDS Regional Workshop on ""Evidence of Behavioural Change in the Context of HIV Decline in Uganda,"" 10 - 13, February, Nairobi, Kenya.",HIV,-1,-1,26.7,N/A,B,UNK,N/A
2,WZ,National,1995,Pregnant women,G,F,ALL,N0189,"Only the prevalence rate was given.  Sentinel surveillance.  Also, see D0117.",P,Swaziland,National,"Nxumalo, R.",1997,HIV Sentinel Surveillance in Swaziland,"Presented at the UNAIDS Regional Workshop on ""Evidence of Behavioural Change in the Context of HIV Decline in Uganda,"" 10 - 13, February, Nairobi, Kenya.",HIV,-1,-1,19.07,N/A,B,UNK,N/A
5,WZ,National,1995,STI pts.,S,B,ALL,N0189,"Only the prevalence rate was given.  Sentinel surveillance.  Also, see D0117.",P,Swaziland,National,"Nxumalo, R.",1997,HIV Sentinel Surveillance in Swaziland,"Presented at the UNAIDS Regional Workshop on ""Evidence of Behavioural Change in the Context of HIV Decline in Uganda,"" 10 - 13, February, Nairobi, Kenya.",HIV,-1,-1,28,N/A,B,UNK,N/A
93,WZ,Shiselweni region,1998,STI pts.,S,F,ALL,S0444,6th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,50.7,N/A,BW,ELISA,290
18,WZ,Lubombo region,1998,Pregnant women,G,F,ALL,S0444,6th HIV Sentinel Surveillance.  1st time attending antenatal clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,31.5,N/A,BW,ELISA,447
76,WZ,National,1998,STI pts.,S,B,ALL,S0444,6th HIV Sentinel Surveillance.  Total of all 4 regions.  Attending a STI clinic.  782 males & 1103 females.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,National,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,47.6,N/A,BW,ELISA,1885
3,WZ,Four regions,1998,In-pts.,L,B,ALL,S0462,"Region: Hhohho, Manzini, Shiselweni, & Lubombo.  Breakdown by region, sex, & age is given.  444 males, 629 females, & 15/37 unknown.  Included children.  Pts. excluding maternity pts.",P,Swaziland,Four regions,Swaziland Ministry of health,1998,Report on HIV Prevalence among In-patients in Selected Hospitals,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland, October, report.",HIV,552,-1,49.45,N/A,B,ELISA,1116
54,WZ,Rural areas,1998,Pregnant women,G,F,ALL,S0444,6th HIV Sentinel Surveillance.  Total of all 4 regions.  1st time attending antenatal clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Rural areas,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,31.5,N/A,BW,ELISA,387
89,WZ,Lubombo region,1998,STI pts.,S,F,ALL,S0444,6th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,49.8,N/A,BW,ELISA,245
121,WZ,Shiselweni region,1998,STI pts.,S,B,ALL,S0444,6th HIV Sentinel Surveillance.  Attending a STI clinic.  150 males & 290 females.  Breakdown by age is provided.  15 June - July 98.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,48.6,N/A,BW,ELISA,440
14,WZ,Hhohho region,1998,In-pts.,L,B,ALL,S0462,Site: Mbabane Government Hospital.  Included children.  Pts. excluding maternity pts.,P,Swaziland,Mbabane Government Hospital,Swaziland Ministry of health,1998,Report on HIV Prevalence among In-patients in Selected Hospitals,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland, October, report.",HIV,149,-1,45.7,N/A,B,ELISA,326
36,WZ,Shiselweni region,1998,Pregnant women,G,F,ALL,S0444,6th HIV Sentinel Surveillance.  1st time attending antenatal clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,29.6,N/A,BW,ELISA,335
56,WZ,National,1998,STI pts.,S,M,ALL,S0444,6th HIV Sentinel Surveillance.  Total of all 4 regions.  Attending a STI clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,National,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,47.2,N/A,BW,ELISA,782
87,WZ,Hhohho region,1998,STI pts.,S,F,ALL,S0444,6th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,47.4,N/A,BW,ELISA,306
91,WZ,Manzini region,1998,STI pts.,S,F,ALL,S0444,6th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Manzini region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,43.5,N/A,BW,ELISA,262
103,WZ,Lubombo region,1998,STI pts.,S,B,ALL,S0444,6th HIV Sentinel Surveillance.  Attending a STI clinic.  197 males & 245 females.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,49.5,N/A,BW,ELISA,442
139,WZ,National,1998,New TB pts.,U,F,ALL,S0444,6th HIV Sentinel Surveillance.  Total of all 4 regions.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,National,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,69,N/A,BW,ELISA,29
12,WZ,Four regions,1998,In-pts.,L,M,ALL,S0462,"Region: Hhohho, Manzini, Shiselweni, & Lubombo.  Included children.  Pts. excluding maternity pts.",P,Swaziland,Four regions,Swaziland Ministry of health,1998,Report on HIV Prevalence among In-patients in Selected Hospitals,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland, October, report.",HIV,202,-1,45.5,N/A,B,ELISA,444
16,WZ,Shiselweni region,1998,In-pts.,L,B,ALL,S0462,Site: Hlatikhulu Hospital.  Included children.  Pts. excluding maternity pts.,P,Swaziland,Hlatikhulu Hospital,Swaziland Ministry of health,1998,Report on HIV Prevalence among In-patients in Selected Hospitals,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland, October, report.",HIV,98,-1,52.68,N/A,B,ELISA,186
9,WZ,Hhohho region,1998,Pregnant women,G,F,ALL,S0444,6th HIV Sentinel Surveillance.  1st time attending antenatal clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,30.3,N/A,BW,ELISA,472
27,WZ,Manzini region,1998,Pregnant women,G,F,ALL,S0444,6th HIV Sentinel Surveillance.  1st time attending antenatal clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Manzini region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,34.8,N/A,BW,ELISA,405
45,WZ,National,1998,Pregnant women,G,F,ALL,S0444,"6th HIV Sentinel Surveillance.  Total of all 4 regions.  1st time attending antenatal clinic.  Breakdown by age is provided.  15 June - 27 July 98.  Also, see N0395.",P,Swaziland,National,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,31.6,N/A,BW,ELISA,1659
55,WZ,Urban areas,1998,Pregnant women,G,F,ALL,S0444,6th HIV Sentinel Surveillance.  Total of all 4 regions.  1st time attending antenatal clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Urban areas,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,32.7,N/A,BW,ELISA,275
66,WZ,National,1998,STI pts.,S,F,ALL,S0444,6th HIV Sentinel Surveillance.  Total of all 4 regions.  Attending a STI clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,National,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,47.9,N/A,BW,ELISA,1103
86,WZ,Hhohho region,1998,STI pts.,S,M,ALL,S0444,6th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,52.7,N/A,BW,ELISA,258
88,WZ,Lubombo region,1998,STI pts.,S,M,ALL,S0444,6th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,49.2,N/A,BW,ELISA,197
90,WZ,Manzini region,1998,STI pts.,S,M,ALL,S0444,6th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Manzini region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,39,N/A,BW,ELISA,177
92,WZ,Shiselweni region,1998,STI pts.,S,M,ALL,S0444,6th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,44.7,N/A,BW,ELISA,150
94,WZ,Hhohho region,1998,STI pts.,S,B,ALL,S0444,6th HIV Sentinel Surveillance.  Attending a STI clinic.  258 males & 306 females.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,49.8,N/A,BW,ELISA,564
112,WZ,Manzini region,1998,STI pts.,S,B,ALL,S0444,6th HIV Sentinel Surveillance.  Attending a STI clinic.  177 males & 262 females.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,Manzini region,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,41.7,N/A,BW,ELISA,439
131,WZ,National,1998,New TB pts.,U,M,ALL,S0444,6th HIV Sentinel Surveillance.  Total of all 4 regions.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,National,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,51.1,N/A,BW,ELISA,45
147,WZ,National,1998,New TB pts.,U,B,ALL,S0444,6th HIV Sentinel Surveillance.  Total of all 4 regions.  45 males & 29 females.  Breakdown by age is provided.  15 June - 27 July 98.,P,Swaziland,National,Swaziland Ministry of Health,1998,Sixth HIV Sentinel Surveillance Report: 1998,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, September, report.",HIV,0,-1,58.1,N/A,BW,ELISA,74
11,WZ,Four regions,1998,In-pts. - adult,L,B,UNK,S0462,"Region: Hhohho, Manzini, Shiselweni, & Lubombo.  Pts. excluding maternity pts.",P,Swaziland,Four regions,Swaziland Ministry of health,1998,Report on HIV Prevalence among In-patients in Selected Hospitals,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland, October, report.",HIV,7,-1,58.33,N/A,B,ELISA,12
13,WZ,Four regions,1998,In-pts.,L,F,ALL,S0462,"Region: Hhohho, Manzini, Shiselweni, & Lubombo.  Included children.  Pts. excluding maternity pts.",P,Swaziland,Four regions,Swaziland Ministry of health,1998,Report on HIV Prevalence among In-patients in Selected Hospitals,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland, October, report.",HIV,332,-1,52.77,N/A,B,ELISA,629
15,WZ,Manzini region,1998,In-pts.,L,B,ALL,S0462,Site: RFM Hospital.  Included children.  Pts. excluding maternity pts.,P,Swaziland,RFM Hospital,Swaziland Ministry of health,1998,Report on HIV Prevalence among In-patients in Selected Hospitals,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland, October, report.",HIV,151,-1,47.63,N/A,B,ELISA,317
17,WZ,Lubombo region,1998,In-pts.,L,B,ALL,S0462,Site: Good Shepherd Hosptial.  Included children.  Pts. excluding maternity pts.,P,Swaziland,Good Shepherd Hosptial,Swaziland Ministry of health,1998,Report on HIV Prevalence among In-patients in Selected Hospitals,"Ministry of Health and Social Welfare, Swaziland National AIDS/STDs Programme, Mbabane, Swaziland, October, report.",HIV,154,-1,53.65,N/A,B,ELISA,287
